char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class,plate_no_length,similar_digits,sepcial_date,saudi_tribes,One Digit,Two Digits (Same),Two Digits (Different),Three Digits (Same),Three Digits (Different),Four Digits (Same),Four Digits (Different),emergency_no,in_order,reversed_order,same_middles_no,plaindromic_no,same_first_last_no,same_two_sides,one_digit_zero,one_digit_one,one_digit_two,one_digit_three,one_digit_four,one_digit_five,one_digit_six,one_digit_seven,one_digit_eight,one_digit_nine
د ل أ,A L D,د,ل,أ,D,L,A,4061,2000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ل ع,E L D,د,ل,ع,D,L,E,787,30000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
د ل ق,G L D,د,ل,ق,D,L,G,73,12000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ل ل,L L D,د,ل,ل,D,L,L,78,40000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ل م,Z L D,د,ل,م,D,L,Z,767,35000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
د ل هـ,H L D,د,ل,هـ,D,L,H,3,65000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
د ل و,U L D,د,ل,و,D,L,U,67,28000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د م ط,T Z D,د,م,ط,D,Z,T,9009,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
د م ع,E Z D,د,م,ع,D,Z,E,16,30000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ن د,D N D,د,ن,د,D,N,D,4646,8500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ن و,U N D,د,ن,و,D,N,U,4420,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ن ى,V N D,د,ن,ى,D,N,V,2072,2500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
د هـ ب,B H D,د,هـ,ب,D,H,B,9600,3300,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
د هـ د,D H D,د,هـ,د,D,H,D,313,9000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
د هـ د,D H D,د,هـ,د,D,H,D,7779,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
د هـ ر,R H D,د,هـ,ر,D,H,R,509,15000,,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د هـ ر,R H D,د,هـ,ر,D,H,R,3037,7000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د هـ م,Z H D,د,هـ,م,D,H,Z,116,40000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
د و أ,A U D,د,و,أ,D,U,A,47,20000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د و ع,E U D,د,و,ع,D,U,E,88,25000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
د و ك,K U D,د,و,ك,D,U,K,900,28000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
د و ل,L U D,د,و,ل,D,U,L,8668,5800,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
د و ن,N U D,د,و,ن,D,U,N,5769,4000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
د ى أ,A V D,د,ى,أ,D,V,A,666,40000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر أ س,S A R,ر,أ,س,R,A,S,1991,11000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ر أ ن,N A R,ر,أ,ن,R,A,N,3,35000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ر أ و,U A R,ر,أ,و,R,A,U,26,22000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ب أ,A B R,ر,ب,أ,R,B,A,7731,3500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ب د,D B R,ر,ب,د,R,B,D,4544,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
ر ب ل,L B R,ر,ب,ل,R,B,L,2666,30000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ب ل,L B R,ر,ب,ل,R,B,L,6742,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ب م,Z B R,ر,ب,م,R,B,Z,4444,23000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ح ط,T J R,ر,ح,ط,R,J,T,6662,14000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ح ل,L J R,ر,ح,ل,R,J,L,2030,350000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ر ر,R R R,ر,ر,ر,R,R,R,455,50000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ر س,S R R,ر,ر,س,R,R,S,155,20000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ر س,S R R,ر,ر,س,R,R,S,7700,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ر ص,X R R,ر,ر,ص,R,R,X,7787,4900,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ر ر هـ,H R R,ر,ر,هـ,R,R,H,30,23000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر س ط,T S R,ر,س,ط,R,S,T,2222,18500,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ص س,S X R,ر,ص,س,R,X,S,1155,3500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ص ل,L X R,ر,ص,ل,R,X,L,2,135000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ر ط ح,J T R,ر,ط,ح,R,T,J,1995,2000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ط ر,R T R,ر,ط,ر,R,T,R,3,85000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ر ط ص,X T R,ر,ط,ص,R,T,X,3333,17500,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ط هـ,H T R,ر,ط,هـ,R,T,H,999,20000,,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ع أ,A E R,ر,ع,أ,R,E,A,99,40000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ع ب,B E R,ر,ع,ب,R,E,B,588,25000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ع ب,B E R,ر,ع,ب,R,E,B,719,18000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع ب,B E R,ر,ع,ب,R,E,B,2328,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع ب,B E R,ر,ع,ب,R,E,B,9293,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع ح,J E R,ر,ع,ح,R,E,J,3233,2000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
ر ع د,D E R,ر,ع,د,R,E,D,3327,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع د,D E R,ر,ع,د,R,E,D,4884,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ر ع د,D E R,ر,ع,د,R,E,D,8700,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ع ر,R E R,ر,ع,ر,R,E,R,2423,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع ر,R E R,ر,ع,ر,R,E,R,3444,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ع ط,T E R,ر,ع,ط,R,E,T,2444,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ع و,U E R,ر,ع,و,R,E,U,6661,5500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ع ى,V E R,ر,ع,ى,R,E,V,5600,1500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ق ر,R G R,ر,ق,ر,R,G,R,12,22000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ق ع,E G R,ر,ق,ع,R,G,E,666,120000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ق ل,L G R,ر,ق,ل,R,G,L,3322,2500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ق م,Z G R,ر,ق,م,R,G,Z,2993,2000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ق ن,N G R,ر,ق,ن,R,G,N,7637,1500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ر ك ر,R K R,ر,ك,ر,R,K,R,1582,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ك ط,T K R,ر,ك,ط,R,K,T,1000,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ك ن,N K R,ر,ك,ن,R,K,N,992,22000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ك ن,N K R,ر,ك,ن,R,K,N,3666,7000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ك هـ,H K R,ر,ك,هـ,R,K,H,5000,16000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ك و,U K R,ر,ك,و,R,K,U,9889,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ر ل ر,R L R,ر,ل,ر,R,L,R,8,30000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ر ل س,S L R,ر,ل,س,R,L,S,49,11000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ل ك,K L R,ر,ل,ك,R,L,K,3993,3500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ر ل ك,K L R,ر,ل,ك,R,L,K,5550,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر م ب,B Z R,ر,م,ب,R,Z,B,12,15000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر م ر,R Z R,ر,م,ر,R,Z,R,7778,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر م س,S Z R,ر,م,س,R,Z,S,26,19000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر م س,S Z R,ر,م,س,R,Z,S,8888,37000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ر م هـ,H Z R,ر,م,هـ,R,Z,H,4464,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ر م هـ,H Z R,ر,م,هـ,R,Z,H,8967,800,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر م هـ,H Z R,ر,م,هـ,R,Z,H,9000,13000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,121,75000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,1234,10000,,4,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,1460,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,1828,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,2461,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,4316,4000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,5657,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن أ,A N R,ر,ن,أ,R,N,A,5969,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن ح,J N R,ر,ن,ح,R,N,J,9092,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن د,D N R,ر,ن,د,R,N,D,1919,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن د,D N R,ر,ن,د,R,N,D,8590,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن ر,R N R,ر,ن,ر,R,N,R,3344,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ن س,S N R,ر,ن,س,R,N,S,2929,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن ق,G N R,ر,ن,ق,R,N,G,2024,10000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن ق,G N R,ر,ن,ق,R,N,G,3000,27000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ن ك,K N R,ر,ن,ك,R,N,K,2111,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ن هـ,H N R,ر,ن,هـ,R,N,H,8,30000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ر ن هـ,H N R,ر,ن,هـ,R,N,H,9994,7000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ر ن و,U N R,ر,ن,و,R,N,U,3633,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
ر ن و,U N R,ر,ن,و,R,N,U,7900,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر ن و,U N R,ر,ن,و,R,N,U,9929,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ر هـ ب,B H R,ر,هـ,ب,R,H,B,3333,39000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ر هـ ص,X H R,ر,هـ,ص,R,H,X,3720,2000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر هـ ع,E H R,ر,هـ,ع,R,H,E,400,10000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,1400,4500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,5595,2500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9666,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9777,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9888,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9966,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر و أ,A U R,ر,و,أ,R,U,A,62,20000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر و ح,J U R,ر,و,ح,R,U,J,54,35000,,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر و ح,J U R,ر,و,ح,R,U,J,78,40000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ر و ح,J U R,ر,و,ح,R,U,J,775,20000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ر و ن,N U R,ر,و,ن,R,U,N,33,58000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر و ن,N U R,ر,و,ن,R,U,N,666,68000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ر ى ح,J V R,ر,ى,ح,R,V,J,877,15000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س أ ر,R A S,س,أ,ر,S,A,R,999,150000,,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س أ ط,T A S,س,أ,ط,S,A,T,38,16000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س أ ق,G A S,س,أ,ق,S,A,G,4,85000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
س أ ى,V A S,س,أ,ى,S,A,V,1,500000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
س ب أ,A B S,س,ب,أ,S,B,A,46,23000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ح ح,J J S,س,ح,ح,S,J,J,80,10000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ح ر,R J S,س,ح,ر,S,J,R,0,400000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
س ح س,S J S,س,ح,س,S,J,S,4,50000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
س س س,S S S,س,س,س,S,S,S,151,40000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
س س س,S S S,س,س,س,S,S,S,972,50000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س س هـ,H S S,س,س,هـ,S,S,H,55,42000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س ط ر,R T S,س,ط,ر,S,T,R,237,11000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ط م,Z T S,س,ط,م,S,T,Z,56,38000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ع د,D E S,س,ع,د,S,E,D,2045,6000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ع د,D E S,س,ع,د,S,E,D,9309,6500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
س ع د,D E S,س,ع,د,S,E,D,9710,4000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ع م,Z E S,س,ع,م,S,E,Z,505,20000,,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
س ع ى,V E S,س,ع,ى,S,E,V,4,200000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
س ل ط,T L S,س,ل,ط,S,L,T,377,22000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س ل و,U L S,س,ل,و,S,L,U,64,25000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س م ب,B Z S,س,م,ب,S,Z,B,353,5000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
س م ر,R Z S,س,م,ر,S,Z,R,116,32000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س م ر,R Z S,س,م,ر,S,Z,R,988,10000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س م و,U Z S,س,م,و,S,Z,U,904,20000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س م ى,V Z S,س,م,ى,S,Z,V,9,250000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
س ن د,D N S,س,ن,د,S,N,D,899,20000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س ن ر,R N S,س,ن,ر,S,N,R,1,2500000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
س هـ ب,B H S,س,هـ,ب,S,H,B,44,20000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س هـ ق,G H S,س,هـ,ق,S,H,G,111,31000,,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س هـ ل,L H S,س,هـ,ل,S,H,L,22,80000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س هـ م,Z H S,س,هـ,م,S,H,Z,79,80000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س هـ م,Z H S,س,هـ,م,S,H,Z,700,85000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
س هـ م,Z H S,س,هـ,م,S,H,Z,703,20000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س هـ م,Z H S,س,هـ,م,S,H,Z,707,60000,,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
س هـ م,Z H S,س,هـ,م,S,H,Z,968,12500,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س هـ و,U H S,س,هـ,و,S,H,U,501,22000,,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
س ى أ,A V S,س,ى,أ,S,V,A,555,25000,,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
س ى ح,J V S,س,ى,ح,S,V,J,77,35000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
